[01:14] Speaker_A | So we can start ?
[01:16] Speaker_D | Yeah .
[01:20] Speaker_C | Ah okay .
[01:23] Speaker_C | It's Ada Longmund ?
[01:34] Speaker_A | So um we will have to
"[01:41] Speaker_A | um speak about m the project . Our project project is to create um a new remote control and as you may know there's lot of industrials interesting in creating a remote control , so the remote control has to be original , trendy and um user-friendly ."
[02:07] Speaker_A | Record .
[02:11] Speaker_A | So the project method is the following .
"[02:15] Speaker_A | So if we're um the functional design , you have to do uh any individual work and uh also work with uh meetings talking with each other . Uh it will be the same for the conceptual design and also the same for the detailed design ."
[02:38] Speaker_A | Uh .
[02:47] Speaker_D | Mm-hmm .
"[02:48] Speaker_C | Maybe someone ha we have to this whiteboard , yeah ?"
[02:52] Speaker_A | Maybe you can draw your favourite animal
[02:55] Speaker_A | and make a list of its favourite characteristics .
[02:56] Speaker_D | So right now ?
"[03:01] Speaker_A | I don't know if we have to do it now , maybe later later ."
"[03:03] Speaker_C | Yeah , I don't know ."
"[03:08] Speaker_A | So the selling price of the product will be twenty five Euros . Yeah . Yeah . I think it's quite good price , yeah . And uh"
[03:12] Speaker_B | Twenty five Euros ?
[03:13] Speaker_D | Mm .
"[03:16] Speaker_C | I it's it's reasonable , s quite yeah . Twenty five ."
"[03:18] Speaker_D | It's reasonable , I think , yeah ."
[03:24] Speaker_A | it will uh be a
"[03:27] Speaker_A | an international remote control , as we want to sell it in the entire world , and the product costs will be not more than twelve Euros and fifty centimes . So , as you will discuss about the remote control you will have to experience your um with the remote control . Um just uh maybe be imaginative with remote const con controls , try to create something new and people would like to to buy ."
"[04:06] Speaker_A | And and the next meeting will start in thirty minutes ,"
[04:14] Speaker_A | so you'll ha all have your spethisfispis specif specific role and you know I suppose you know what you have to do . And uh you will have to work on the design and also to work on the design of th technical fun functions of the remote control and think of the user requirement specifications .
"[04:39] Speaker_D | Those things just refer to each of each of us , I think . AMI and okay ."
[04:42] Speaker_B | Yep .
[04:43] Speaker_A | Yeah .
"[04:44] Speaker_A | I_D_ , yeah ."
[04:46] Speaker_B | Yeah .
"[04:47] Speaker_C | I_D_ is for the Industrial Design , yeah ?"
[04:49] Speaker_D | Okay .
"[04:50] Speaker_C | And U_I_D_ , it's for the User Interface Designer , yeah ?"
[04:52] Speaker_B | That's me .
"[04:53] Speaker_D | Okay , and Marketing Expert , it's me ."
[04:55] Speaker_C | AMI yeah project .
[04:56] Speaker_A | So I will manage all all the group .
"[04:58] Speaker_D | You can manage all this , yeah ."
[05:00] Speaker_B | Okay .
[05:01] Speaker_D | Good .
[05:02] Speaker_A | So you have questions ?
[05:06] Speaker_D | Um .
[05:08] Speaker_D | Not really .
[05:15] Speaker_B | Yeah .
"[05:15] Speaker_D | So which you , the Industrial Designer ."
[05:17] Speaker_B | No I'm user interf I'm user interface design .
"[05:18] Speaker_C | I am the Industrial Design , yeah"
[05:21] Speaker_D | Okay .
[05:21] Speaker_A | Mm-hmm . And you ?
[05:23] Speaker_C | I am the Industrial Designer so .
[05:25] Speaker_A | Mm okay .
[05:26] Speaker_B | Okay . So what's the difference between
[05:26] Speaker_D | Yeah .
[05:31] Speaker_A | Hmm .
"[05:32] Speaker_D | I mean , you have to know . Ah , you have to know it ."
"[05:35] Speaker_D | It's your job , so I hope you you know what it is ."
"[05:40] Speaker_B | Yeah , I think so ."
[05:43] Speaker_D | Mm .
[05:43] Speaker_A | I suppose you have to design it and you have to take care of the industrial way to transform it .
[05:49] Speaker_D | Yeah .
[05:53] Speaker_A | And i maybe you will transform it .
[06:00] Speaker_B | Use it .
[06:02] Speaker_B | Make make yeah .
"[06:05] Speaker_C | And the uh industrial design , it is how the object will look like ."
"[06:09] Speaker_B | Maybe I think uh uh i industrial design's uh , it's the function design . I design the user f user interface , you design the function ."
[06:10] Speaker_C | Yeah . So the materi
"[06:18] Speaker_A | Maybe , it is the outside and the inside ."
[06:19] Speaker_B | Yeah .
[06:24] Speaker_D | Okay .
[06:25] Speaker_B | Okay .
"[06:25] Speaker_C | Okay right . But I was thinking that he's a user 'cause the user interface to design for example where the but button will be , you know ."
[06:32] Speaker_B | Yeah yeah .
[06:32] Speaker_C | But I don't know . Okay .
[06:34] Speaker_D | Well . You know .
[06:36] Speaker_C | I'm the industrial designer .
"[06:37] Speaker_D | Oh , okay , okay . Not the other one ."
[06:39] Speaker_C | So .
[06:40] Speaker_B | Okay .
[06:41] Speaker_C | Okay .
"[06:45] Speaker_D | Yeah , I'm just go I'm trying to give you some trends about what should be done and what the users would like to have and then thi this would I guess converged to the User Interface Designer wi and then Industrial Designer ."
[06:52] Speaker_A | And yeah .
[06:58] Speaker_C | Ok Okay .
"[06:59] Speaker_A | And when designing y the remote control just remember that uh it has to be a kind of international product . So you don't have to do something really specific , as everybody everybody will have to use it , it's sor the same as keyboards . You know , you have Qwerty , Azerty , French and U_K_ keyboard , so really the remote control to be international . And not too expensive ."
[07:06] Speaker_B | Okay .
[07:09] Speaker_B | Mm-hmm .
[07:09] Speaker_D | Mm .
[07:13] Speaker_B | Yeah .
[07:16] Speaker_B | Mm .
[07:17] Speaker_B | Yeah .
[07:21] Speaker_B | Okay .
[07:22] Speaker_D | Mm-hmm .
[07:23] Speaker_B | Yeah . And uh simple .
[07:25] Speaker_A | As we want to maximise the benefit .
[07:26] Speaker_B | And easy to use .
"[07:27] Speaker_D | And you have to keep it under twelve Euros and f fifty , so ."
"[07:30] Speaker_A | Yeah , you have to keep in mind that the product cost won't be maxim more than twelve dot fifty Euros ."
"[07:30] Speaker_B | Ah , yeah ."
[07:32] Speaker_D | That's the problem .
[07:35] Speaker_B | Okay .
